"","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DHomeW","DHomeL","DAwayW","DAwayL","DPnts","DOppPnts","DMP","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DORB","DTRB","DAST","DSTL","DBLK","DTOV","DPF","SeedDiff","ScoreDiff"
"154",4,-1,5,-0.138,10.07,13.04,-2,6,NA,NA,NA,NA,589,675,NA,240,643,-0.043,-102,-215,-0.049,211,342,-0.0439999999999999,286,511,126,69,86,200,86,-7,3
"155",4,9,-5,0.189,21.12,12.48,5,-1,NA,NA,NA,NA,359,79,NA,117,8,0.063,17,21,0.022,108,112,0.0439999999999999,-99,119,116,-38,57,14,-49,-13,14
"156",4,3,1,0.00600000000000001,12.88,13.65,-3,3,NA,NA,NA,NA,-194,-198,NA,-107,-366,0.027,-117,-333,-0.00900000000000001,137,121,0.074,-6,19,9,-109,124,172,3,-9,10
"157",0,1,-1,0.032,18,11.42,1,1,NA,NA,NA,NA,-50,-210,NA,-6,0,-0.00399999999999995,-7,-16,-0.002,-31,-57,0.0109999999999999,10,122,-120,-71,54,-42,-28,-11,22
"158",-2,0,-2,0.043,0.869999999999999,-0.0500000000000007,1,1,NA,NA,NA,NA,-636,-656,NA,-211,-500,-0.003,-85,-284,0.015,-129,-172,-0.02,-135,-214,-52,-93,-35,-40,-122,-3,-13
"159",-2,4,-6,0.18,4.67,-2.42,4,-4,NA,NA,NA,NA,257,68,NA,130,124,0.044,-24,-60,-0.00699999999999995,21,9,0.019,101,116,74,17,20,71,58,-3,12
"160",6,11,-5,0.202,29.93,14.33,2,0,NA,NA,NA,NA,949,416,NA,348,614,0.028,112,232,0.051,141,175,0.023,161,410,195,54,24,45,-4,-15,39
"161",1,4,-3,0.102,7.46,0.15,1,-1,NA,NA,NA,NA,426,197,NA,117,270,-0.001,87,235,0.00900000000000001,105,139,0.022,51,43,15,37,2,-4,97,-5,9
"162",3,-2,5,-0.141,3.01,6.06,1,1,NA,NA,NA,NA,193,262,NA,101,225,0.001,-12,65,-0.074,3,26,-0.024,28,142,84,97,-3,93,31,-1,15
"163",4,6,-2,0.094,11.4,10.17,1,-1,NA,NA,NA,NA,184,131,NA,55,309,-0.054,-76,-78,-0.083,150,271,-0.0549999999999999,233,342,-110,32,63,40,77,-13,3
"164",3,-3,6,-0.161,6.89,8.43,-7,5,NA,NA,NA,NA,23,47,NA,42,82,0.002,-45,-26,-0.071,-16,112,-0.132,90,153,41,-19,19,-21,130,-5,-3
"165",7,9,-2,0.098,17.78,13.27,2,0,NA,NA,NA,NA,325,110,NA,152,305,0.00600000000000001,-13,-23,-0.00800000000000001,34,-23,0.0589999999999999,-10,77,91,70,-37,-68,83,-13,8
"166",6,12,-6,0.222,34.59,18.02,5,-1,NA,NA,NA,NA,811,146,NA,278,568,0.005,29,103,-0.015,226,349,-0.0149999999999999,172,328,9,102,91,-85,53,-15,36
"167",5,2,3,-0.053,7.65,11.91,-1,-1,NA,NA,NA,NA,481,569,NA,162,498,-0.043,86,269,-0.035,71,75,0.035,42,157,45,55,7,5,161,-7,13
"168",-1,-2,1,-0.042,4.78,6.53,-2,2,NA,NA,NA,NA,-5,93,NA,50,-68,0.045,4,-29,0.029,-109,-185,0.03,-146,-181,91,-10,-34,-12,-66,-3,7
"169",9,22,-13,0.464,39.98,12.75,9,-9,NA,NA,NA,NA,1125,224,NA,471,575,0.096,106,149,0.108,77,18,0.0790000000000001,125,433,430,39,137,94,-8,-15,58
"170",9,13,-4,0.164,28.63,20.08,-2,0,NA,NA,NA,NA,892,513,NA,395,752,0.02,76,244,-0.031,26,49,-0.00900000000000001,193,550,371,124,110,62,116,-13,15
"171",-1,-4,3,-0.102,12.42,10.89,-3,3,NA,NA,NA,NA,145,166,NA,52,198,-0.022,27,152,-0.08,14,47,-0.0229999999999999,44,97,250,92,90,85,63,-9,14
"172",-1,-1,0,-0.011,2.51,1.76,1,-1,NA,NA,NA,NA,10,-10,NA,49,44,0.016,-72,-190,-0.015,-16,-64,0.0379999999999999,97,170,-9,-93,103,-21,53,-3,-5
"173",4,5,-1,0.0679999999999999,19.5,13.38,-2,3,NA,NA,NA,NA,492,297,NA,185,181,0.056,51,26,0.068,71,83,0.0209999999999999,6,197,65,20,77,36,1,-11,19
"174",0,2,-2,0.0659999999999999,11.95,6.58,0,-2,NA,NA,NA,NA,-192,-346,NA,-110,-154,-0.021,-34,-79,-0.01,62,87,0.00700000000000001,64,76,-27,-5,7,32,-25,-9,12
"175",-4,-1,-3,0.0620000000000001,15.47,9.73,-1,1,NA,NA,NA,NA,-106,-283,NA,-67,-77,-0.017,17,45,0,11,77,-0.0519999999999999,1,-29,-134,16,34,-46,10,-9,-1
