"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"277",277,3,8,-5,0.187,4.25,-1.43,2,-2,221,29,88,326,-0.032,8,45,-0.014,37,61,-0.01,312,-12,142,129,-75,-7,-6.0775,704,3256,27456,-1056,12496,11352,-6600,-616,-0.08,-96,2496,1136,-56,19032,-732,8662,7869,-4575,-427,-3744,44304,40248,-23400,-2184,-1704,-1548,900,84,18318,-10650,-994,-9675,-903,-994,10,1,9,-11.44,49
"278",278,0,0,0,0,1.25,2.37,-2,2,85,122,36,-18,0.022,-48,-151,0.00900000000000001,61,95,-0.005,34,57,1,94,110,-1,2.9625,-1728,2196,1224,2052,36,3384,3960,-36,0.24,-2736,-1632,-48,48,3230,5415,95,8930,10450,-95,1938,34,3196,3740,-34,57,5358,6270,-57,94,110,-1,10340,-94,-1,-7,0,0,0,1
"279",279,-3,1,-4,0.086,-1.95,-0.879999999999999,0,0,-208,-155,-107,-178,-0.015,-66,-189,-0.00199999999999995,72,162,-0.0499999999999999,24,-2,-2,53,195,-5,1.716,7062,-7704,-2568,214,214,-5671,-20865,535,3.29999999999999,132,-1584,132,330,3888,-324,-324,8586,31590,-810,-48,-48,1272,4680,-120,4,-106,-390,10,-106,-390,10,10335,-265,10,-14,0,9,-0.879999999999999,25
"280",280,1,-3,4,-0.12,12.02,17.53,-2,2,287,453,118,290,-0.00999999999999995,23,32,0.023,28,22,0.016,53,50,12,8,4,-9,210.7106,2714,3304,6254,5900,1416,944,472,-1062,0.368,1150,1219,276,-207,1166,1100,264,176,88,-198,2650,636,424,212,-477,600,400,200,-450,96,48,-108,32,-72,-108,13,1,1,-52.59,81
"281",281,4,4,0,0.0389999999999999,5.72,6.13,1,1,491,484,131,303,-0.005,79,202,0.021,150,137,0.073,111,108,18,36,6,-5,35.0636,10349,19650,14541,14148,2358,4716,786,-655,5.767,8532,8769,1422,-395,15207,14796,2466,4932,822,-685,11988,1998,3996,666,-555,1944,3888,648,-540,648,108,-90,216,-180,-90,15,1,16,24.52,25
"282",282,-2,-6,4,-0.143,-0.9,3.94,-2,4,-385,-214,-141,-331,0.00900000000000001,-65,-175,-0.005,-38,-61,0.005,-242,-84,-105,-143,-127,-1,-3.546,9165,5358,34122,11844,14805,20163,17907,141,-0.325,5460,15730,6825,65,14762,5124,6405,8723,7747,61,20328,25410,34606,30734,242,8820,12012,10668,84,15015,13335,105,18161,143,105,-12,0,4,-23.64,1
"283",283,-4,-6,2,-0.0980000000000001,6.36,8.4,-4,6,-256,-103,-63,79,-0.055,-41,-53,-0.035,-89,-192,0.0549999999999999,-134,-117,30,-37,-73,-7,53.424,2583,5607,8442,7371,-1890,2331,4599,441,-2.255,4797,5494,-1230,287,25728,22464,-5760,7104,14016,1344,15678,-4020,4958,9782,938,-3510,4329,8541,819,-1110,-2190,-210,2701,259,-210,-1,0,16,-50.4,49
"284",284,-2,-5,3,-0.117,7.98,6.52,-3,5,68,49,83,172,0.002,-74,-123,-0.049,-24,-43,0.011,182,77,-3,47,-2,-3,52.0296,-6142,-1992,15106,6391,-249,3901,-166,-249,-0.814,-5698,-13468,222,222,-7826,-3311,129,-2021,86,129,14014,-546,8554,-364,-546,-231,3619,-154,-231,-141,6,9,-94,-141,9,-16,0,4,-32.6,9
"285",285,-5,-11,6,-0.232,9.65,15.8,-7,5,-978,-696,-354,-719,-0.023,-102,-303,0.011,-168,-240,0,-302,-91,-179,-61,-98,-5,152.47,36108,59472,106908,32214,63366,21594,34692,1770,0,9282,30804,18258,510,72480,21840,42960,14640,23520,1200,27482,54058,18422,29596,1510,16289,5551,8918,455,10919,17542,895,5978,305,895,-1,0,25,-173.8,25
"286",286,4,8,-4,0.158,20.88,13,-1,-3,355,99,51,60,0.012,39,176,-0.029,214,233,0.07,157,-23,-37,5,16,-13,271.44,1989,10914,8007,-1173,-1887,255,816,-663,2.73,-897,6123,-1443,-507,36581,-5359,-8621,1165,3728,-3029,-3611,-5809,785,2512,-2041,851,-115,-368,299,-185,-592,481,80,-65,481,8,1,16,104,169
